freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.223173e+04	 3.176761e-05	 6.853550e-05	 1.739986e-04	 3.364876e-04	 6.644031e-04	 1.689294e-03
1.224550e+04	 3.261934e-05	 6.825408e-05	 1.718794e-04	 3.374464e-04	 6.620809e-04	 1.699042e-03
1.225929e+04	 3.215653e-05	 6.774443e-05	 1.713207e-04	 3.319396e-04	 6.646969e-04	 1.718538e-03
1.227309e+04	 3.193289e-05	 6.910852e-05	 1.729824e-04	 3.385572e-04	 6.683728e-04	 1.742812e-03
1.228691e+04	 3.240129e-05	 6.868557e-05	 1.753778e-04	 3.421491e-04	 6.718951e-04	 1.768046e-03
1.230075e+04	 3.271020e-05	 6.940400e-05	 1.756453e-04	 3.482580e-04	 6.773754e-04	 1.782536e-03
1.231460e+04	 3.312686e-05	 6.890836e-05	 1.734415e-04	 3.518838e-04	 6.815156e-04	 1.707894e-04
1.232847e+04	 3.344710e-05	 6.543096e-05	 1.771307e-04	 3.574090e-04	 6.942821e-04	 1.797823e-03
1.234235e+04	 3.502376e-05	 7.097225e-05	 1.739532e-04	 3.556209e-04	 6.949434e-04	 1.795850e-03
1.235625e+04	 3.481926e-05	 7.384682e-05	 1.696240e-04	 3.627380e-04	 7.026120e-04	 1.808920e-03
1.237016e+04	 3.466895e-05	 6.859077e-05	 1.725779e-04	 3.613492e-04	 7.084306e-04	 1.821211e-03
1.238409e+04	 3.446402e-05	 7.129734e-05	 1.760297e-04	 3.614308e-04	 7.099079e-04	 1.836170e-03
1.239804e+04	 3.537356e-05	 7.065511e-05	 1.797817e-04	 3.696484e-04	 7.188980e-04	 1.573648e-03
1.241200e+04	 3.449072e-05	 6.618380e-05	 1.795884e-04	 3.661111e-04	 7.281270e-04	 1.152145e-03
1.242597e+04	 3.596910e-05	 7.025702e-05	 1.837326e-04	 3.688923e-04	 7.345105e-04	 1.872238e-03
1.243996e+04	 3.568693e-05	 7.336128e-05	 1.868612e-04	 3.616628e-04	 7.415003e-04	 1.886795e-03
1.245397e+04	 3.609980e-05	 7.229283e-05	 1.863460e-04	 3.735129e-04	 7.411976e-04	 1.889674e-03
1.246800e+04	 3.611195e-05	 7.196375e-05	 1.865494e-04	 3.652936e-04	 7.480892e-04	 1.903804e-03
1.248204e+04	 3.568723e-05	 7.175864e-05	 1.909729e-04	 3.610671e-04	 7.610754e-04	 1.912993e-03
1.249609e+04	 3.537825e-05	 7.385211e-05	 1.904029e-04	 3.675803e-04	 7.570448e-04	 1.916800e-03
1.251016e+04	 3.556303e-05	 7.296451e-05	 1.958626e-04	 3.766669e-04	 7.756489e-04	 1.920077e-03
1.252425e+04	 3.517340e-05	 6.986180e-05	 1.932240e-04	 3.774965e-04	 7.812197e-04	 1.934982e-03
1.253835e+04	 3.617351e-05	 7.355625e-05	 1.868027e-04	 3.896607e-04	 7.828823e-04	 1.929050e-03
1.255247e+04	 3.544874e-05	 7.451626e-05	 1.890844e-04	 3.927929e-04	 7.889492e-04	 6.345842e-04
1.256661e+04	 3.523956e-05	 7.320052e-05	 1.873495e-04	 3.925895e-04	 7.945189e-04	 1.941358e-03
1.258076e+04	 3.769246e-05	 7.639046e-05	 1.899056e-04	 3.963255e-04	 7.907917e-04	 1.946617e-03
1.259492e+04	 3.749429e-05	 7.431543e-05	 1.901532e-04	 3.995520e-04	 7.947307e-04	 1.944442e-03
1.260911e+04	 3.753194e-05	 7.972642e-05	 1.887209e-04	 3.972043e-04	 7.959503e-04	 1.957779e-03
1.262330e+04	 3.856598e-05	 7.483575e-05	 1.855875e-04	 3.989573e-04	 7.862888e-04	 1.951336e-03
1.263752e+04	 3.675799e-05	 7.934224e-05	 1.918890e-04	 3.946511e-04	 7.900241e-04	 1.960738e-03
1.265175e+04	 3.843899e-05	 7.644943e-05	 1.970939e-04	 3.971749e-04	 7.807859e-04	 1.952112e-03
1.266599e+04	 3.787753e-05	 7.845837e-05	 2.005995e-04	 4.000231e-04	 7.854768e-04	 1.937422e-03
1.268026e+04	 3.760889e-05	 7.502612e-05	 2.060014e-04	 4.007443e-04	 7.901126e-04	 1.936641e-03
1.269454e+04	 4.018503e-05	 7.781196e-05	 2.052464e-04	 4.015423e-04	 1.125020e-04	 1.925732e-03
1.270883e+04	 3.873817e-05	 7.938107e-05	 2.056111e-04	 4.021457e-04	 7.844384e-04	 1.923191e-03
1.272314e+04	 3.996107e-05	 7.696266e-05	 2.077228e-04	 3.974371e-04	 7.992270e-04	 1.925962e-03
1.273747e+04	 4.010971e-05	 7.867396e-05	 2.089335e-04	 3.999289e-04	 8.003174e-04	 1.930924e-03
1.275181e+04	 3.875901e-05	 8.026779e-05	 2.102851e-04	 4.019431e-04	 7.983185e-04	 1.947549e-03
1.276617e+04	 3.944349e-05	 7.996584e-05	 2.092530e-04	 4.083765e-04	 8.116601e-04	 1.948048e-03
1.278054e+04	 3.964170e-05	 8.148989e-05	 2.108460e-04	 4.135890e-04	 8.156680e-04	 1.956323e-03
