freq	Measured velocity
Hz	m/s
75860	4.720E-02
75880	4.660E-02
75900	4.580E-02
75920	4.500E-02
75940	4.400E-02
75960	4.280E-02
75980	4.140E-02
76000	4.000E-02
76020	3.860E-02
76040	3.700E-02
76060	3.560E-02
76080	3.380E-02
76100	3.220E-02
76120	3.080E-02
76140	2.960E-02
76160	2.840E-02
76180	2.760E-02
76200	2.700E-02
76220	2.660E-02
76240	2.620E-02
76260	2.640E-02
76280	2.640E-02
76300	2.600E-02
76320	2.560E-02
76340	2.520E-02
76360	2.460E-02
76380	2.400E-02
76400	2.340E-02
76420	2.280E-02
76440	2.220E-02
76460	2.160E-02
76480	2.100E-02
76500	2.020E-02
76520	1.964E-02
76540	1.902E-02
76560	1.840E-02
76580	1.780E-02
76600	1.720E-02
76620	1.660E-02
76640	1.602E-02
76660	1.546E-02
76680	1.492E-02
76700	1.440E-02
76720	1.390E-02
76740	1.340E-02
76760	1.294E-02
76780	1.248E-02
76800	1.204E-02
76820	1.160E-02
76840	1.120E-02
76860	1.080E-02
76880	1.040E-02
76900	1.000E-02
76920	9.620E-03
76940	9.200E-03
76960	8.880E-03
76980	8.620E-03
77000	8.400E-03
77020	8.200E-03
77040	7.980E-03
77060	7.760E-03
77080	7.540E-03
77100	7.340E-03
77120	7.140E-03
77140	6.980E-03
77160	6.800E-03
77180	6.620E-03
77200	6.480E-03
77220	6.340E-03
77240	6.200E-03
77260	6.080E-03
77280	5.960E-03
77300	5.860E-03
77320	5.760E-03
77340	5.680E-03
77360	5.600E-03
77380	5.540E-03
77400	5.500E-03
77420	5.440E-03
77440	5.380E-03
77460	5.320E-03
77480	5.260E-03
77500	5.200E-03
77520	5.160E-03
77540	5.140E-03
77560	5.140E-03
77580	5.160E-03
77600	5.200E-03
77620	5.280E-03
77640	5.340E-03
77660	5.340E-03
77680	5.340E-03
77700	5.320E-03
77720	5.320E-03
77740	5.320E-03
77760	5.360E-03
77780	5.400E-03
77800	5.420E-03
77820	5.480E-03
77840	5.520E-03
77860	5.580E-03
77880	5.640E-03
77900	5.680E-03
77920	5.760E-03
77940	5.820E-03
77960	5.880E-03
77980	5.940E-03
78000	6.000E-03
78020	6.060E-03
78040	6.100E-03
78060	6.160E-03
78080	6.220E-03
78100	6.260E-03
78120	6.320E-03
78140	6.400E-03
78160	6.500E-03
78180	6.620E-03
78200	6.780E-03
78220	6.940E-03
78240	7.100E-03
78260	7.280E-03
78280	7.440E-03
78300	7.620E-03
78320	7.800E-03
78340	7.940E-03
78360	8.020E-03
78380	8.100E-03
78400	8.200E-03
78420	8.320E-03
78440	8.440E-03
78460	8.540E-03
78480	8.660E-03
78500	8.760E-03
78520	8.860E-03
78540	8.980E-03
78560	9.120E-03
78580	9.300E-03
78600	9.520E-03
78620	9.760E-03
78640	1.000E-02
78660	1.024E-02
78680	1.044E-02
78700	1.062E-02
78720	1.078E-02
78740	1.092E-02
78760	1.104E-02
78780	1.114E-02
78800	1.122E-02
78820	1.128E-02
78840	1.132E-02
78860	1.134E-02
78880	1.134E-02
78900	1.134E-02
78920	1.134E-02
78940	1.132E-02
78960	1.130E-02
78980	1.128E-02
79000	1.124E-02
79020	1.116E-02
79040	1.106E-02
79060	1.096E-02
79080	1.086E-02
79100	1.074E-02
79120	1.060E-02
79140	1.046E-02
79160	1.032E-02
79180	1.016E-02
79200	1.004E-02
79220	9.940E-03
79240	9.820E-03
79260	9.660E-03
79280	9.500E-03
79300	9.320E-03
79320	9.160E-03
79340	9.020E-03
79360	8.860E-03
79380	8.700E-03
79400	8.540E-03
79420	8.380E-03
79440	8.240E-03
79460	8.100E-03
79480	7.960E-03
79500	7.840E-03
79520	7.700E-03
79540	7.580E-03
79560	7.460E-03
79580	7.340E-03
79600	7.220E-03
79620	7.120E-03
79640	7.020E-03
79660	6.900E-03
79680	6.800E-03
79700	6.700E-03
79720	6.600E-03
79740	6.500E-03
79760	6.420E-03
79780	6.320E-03
79800	6.220E-03
79820	6.140E-03
79840	6.040E-03
79860	5.960E-03
79880	5.860E-03
79900	5.780E-03
79920	5.680E-03
79940	5.600E-03
79960	5.500E-03
79980	5.400E-03
80000	5.300E-03
80020	5.200E-03
80040	5.100E-03
80060	5.020E-03
80080	4.920E-03
80100	4.840E-03
80120	4.820E-03
80140	4.800E-03
80160	4.800E-03
80180	4.820E-03
80200	4.800E-03
80220	4.760E-03
80240	4.720E-03
80260	4.660E-03
80280	4.600E-03
80300	4.540E-03
80320	4.480E-03
80340	4.400E-03
80360	4.320E-03
80380	4.220E-03
80400	4.140E-03
80420	4.040E-03
80440	3.940E-03
80460	3.860E-03
80480	3.740E-03
80500	3.640E-03
80520	3.540E-03
80540	3.720E-03
80560	5.020E-03
80580	5.640E-03
80600	5.840E-03
80620	5.940E-03
80640	5.960E-03
80660	5.920E-03
80680	5.860E-03
80700	5.780E-03
80720	5.680E-03
80740	5.600E-03
80760	5.500E-03
80780	5.400E-03
80800	5.280E-03
80820	5.180E-03
80840	5.100E-03
80860	5.020E-03
80880	4.920E-03
80900	4.840E-03
80920	4.740E-03
80940	4.640E-03
80960	4.540E-03
80980	4.480E-03
81000	4.400E-03
81020	4.300E-03
81040	4.200E-03
81060	4.140E-03
81080	4.040E-03
81100	3.960E-03
81120	3.860E-03
81140	3.780E-03
81160	3.680E-03
81180	3.600E-03
81200	3.520E-03
81220	3.440E-03
81240	3.360E-03
81260	3.280E-03
81280	3.200E-03
81300	3.140E-03
81320	3.060E-03
81340	2.980E-03
81360	2.900E-03
81380	2.860E-03
81400	2.780E-03
81420	2.720E-03
81440	2.660E-03
81460	2.620E-03
81480	2.560E-03
81500	2.500E-03
81520	2.440E-03
81540	2.380E-03
81560	2.320E-03
81580	2.280E-03
81600	2.220E-03
81620	2.160E-03
81640	2.100E-03
81660	2.060E-03
81680	2.040E-03
81700	1.972E-03
81720	1.932E-03
81740	1.900E-03
81760	1.850E-03
81780	1.800E-03
81800	1.764E-03
81820	1.716E-03
81840	1.680E-03
81860	1.640E-03
81880	1.598E-03
81900	1.550E-03
81920	1.512E-03
81940	1.476E-03
81960	1.440E-03
81980	1.414E-03
82000	1.388E-03
82020	1.354E-03
82040	1.332E-03
82060	1.316E-03
82080	1.294E-03
82100	1.280E-03
82120	1.276E-03
82140	1.274E-03
82160	1.276E-03
82180	1.294E-03
82200	1.308E-03
82220	1.324E-03
82240	1.340E-03
82260	1.336E-03
82280	1.352E-03
82300	1.356E-03
82320	1.364E-03
82340	1.372E-03
82360	1.376E-03
82380	1.378E-03
82400	1.394E-03
82420	1.402E-03
82440	1.414E-03
82460	1.432E-03
82480	1.446E-03
82500	1.450E-03
82520	1.476E-03
82540	1.484E-03
82560	1.494E-03
82580	1.516E-03
82600	1.544E-03
82620	1.554E-03
82640	1.578E-03
82660	1.600E-03
82680	1.636E-03
82700	1.676E-03
82720	1.726E-03
82740	1.788E-03
82760	1.860E-03
82780	1.950E-03
