freq	SPL
Hz	dB
74428.15249	1.047E+02
74442.81525	1.047E+02
74457.47801	1.047E+02
74472.14076	1.046E+02
74486.80352	1.046E+02
74501.46628	1.046E+02
74516.12903	1.045E+02
74530.79179	1.045E+02
74545.45455	1.045E+02
74560.1173	1.044E+02
74574.78006	1.043E+02
74589.44282	1.042E+02
74604.10557	1.042E+02
74618.76833	1.041E+02
74633.43109	1.040E+02
74648.09384	1.039E+02
74662.7566	1.039E+02
74677.41935	1.038E+02
74692.08211	1.038E+02
74706.74487	1.037E+02
74721.40762	1.035E+02
74736.07038	1.034E+02
74750.73314	1.033E+02
74765.39589	1.033E+02
74780.05865	1.033E+02
74794.72141	1.033E+02
74809.38416	1.033E+02
74824.04692	1.033E+02
74838.70968	1.033E+02
74853.37243	1.034E+02
74868.03519	1.034E+02
74882.69795	1.034E+02
74897.3607	1.035E+02
74912.02346	1.036E+02
74926.68622	1.036E+02
74941.34897	1.037E+02
74956.01173	1.038E+02
74970.67449	1.039E+02
74985.33724	1.040E+02
75000	1.042E+02
75014.66276	1.044E+02
75029.32551	1.046E+02
75043.98827	1.048E+02
75058.65103	1.050E+02
75073.31378	1.052E+02
75087.97654	1.053E+02
75102.6393	1.054E+02
75117.30205	1.056E+02
75131.96481	1.057E+02
75146.62757	1.059E+02
75161.29032	1.061E+02
75175.95308	1.062E+02
75190.61584	1.063E+02
75205.27859	1.064E+02
75219.94135	1.066E+02
75234.60411	1.067E+02
75249.26686	1.068E+02
75263.92962	1.069E+02
75278.59238	1.070E+02
75293.25513	1.071E+02
75307.91789	1.073E+02
75322.58065	1.074E+02
75337.2434	1.076E+02
75351.90616	1.077E+02
75366.56891	1.078E+02
75381.23167	1.079E+02
75395.89443	1.080E+02
75410.55718	1.082E+02
75425.21994	1.082E+02
75439.8827	1.083E+02
75454.54545	1.083E+02
75469.20821	1.084E+02
75483.87097	1.085E+02
75498.53372	1.086E+02
75513.19648	1.087E+02
75527.85924	1.088E+02
75542.52199	1.089E+02
75557.18475	1.090E+02
75571.84751	1.091E+02
75586.51026	1.092E+02
75601.17302	1.093E+02
75615.83578	1.094E+02
75630.49853	1.094E+02
75645.16129	1.096E+02
75659.82405	1.097E+02
75674.4868	1.097E+02
75689.14956	1.098E+02
75703.81232	1.099E+02
